id,isResult,side,h,a,goals,xG,datetime,forecast,result
304,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '3', 'a': '0'}","{'h': '2.25906', 'a': '0.340483'}",2016-01-23 19:00:00,"{'w': 0.8140341499661179, 'd': 0.14343917399676342, 'l': 0.042526657124190965}",w
312,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '0'}","{'h': '1.34566', 'a': '0.580791'}",2016-02-02 23:45:00,"{'w': 0.5556669802715714, 'd': 0.2837802063270275, 'l': 0.16055281338273486}",w
321,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '3'}","{'h': '1.70719', 'a': '2.50168'}",2016-02-06 16:45:00,"{'w': 0.25895407208156107, 'd': 0.18852206890426693, 'l': 0.5525237887963672}",w
338,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '2.36319', 'a': '1.31246'}",2016-02-14 16:00:00,"{'w': 0.6077919967692333, 'd': 0.1904477237479976, 'l': 0.20176024571514373}",l
343,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '0'}","{'h': '1.7645', 'a': '0.814784'}",2016-02-27 19:00:00,"{'w': 0.5994354086663669, 'd': 0.23088405698913436, 'l': 0.16968053360848093}",w
351,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '2'}","{'h': '3.04626', 'a': '1.29485'}",2016-03-01 23:45:00,"{'w': 0.7252022600573642, 'd': 0.1436765784464732, 'l': 0.13112035346860768}",d
366,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '0.829318', 'a': '1.47042'}",2016-03-05 21:30:00,"{'w': 0.21191341002386896, 'd': 0.26531551688042593, 'l': 0.522771073032858}",w
373,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '0.846771', 'a': '0.518715'}",2016-03-14 00:00:00,"{'w': 0.4087997786973954, 'd': 0.3803026653346146, 'l': 0.210897555967961}",w
375,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '0.784339', 'a': '1.20315'}",2016-03-19 19:00:00,"{'w': 0.24084781549982331, 'd': 0.3002640460776935, 'l': 0.4588881384184963}",w
392,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '1.38701', 'a': '0.670068'}",2016-04-03 16:30:00,"{'w': 0.5424173917155195, 'd': 0.27725368747066464, 'l': 0.1803289207855344}",w
401,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '2'}","{'h': '0.872232', 'a': '2.60072'}",2016-04-10 16:30:00,"{'w': 0.10275522045382209, 'd': 0.1529404781955984, 'l': 0.7443041874448765}",w
411,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '2'}","{'h': '1.95296', 'a': '1.56819'}",2016-04-17 16:30:00,"{'w': 0.46921725600384445, 'd': 0.2181514279807202, 'l': 0.3126313130347241}",d
425,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '4', 'a': '0'}","{'h': '3.31579', 'a': '0.576457'}",2016-04-24 19:15:00,"{'w': 0.8829825285353103, 'd': 0.08249146672595091, 'l': 0.034523758304947735}",w
434,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '1.18462', 'a': '1.16622'}",2016-05-01 17:05:00,"{'w': 0.36449372377649714, 'd': 0.2800178837815148, 'l': 0.35548839243620295}",d
443,True,h,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '1'}","{'h': '4.50525', 'a': '1.30184'}",2016-05-07 20:30:00,"{'w': 0.8762014014880053, 'd': 0.07122986016727209, 'l': 0.05249413850018919}",w
452,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '1.86065', 'a': '1.23491'}",2016-05-15 18:00:00,"{'w': 0.5203779449587101, 'd': 0.22659877946253043, 'l': 0.25302327408141856}",d
