id,isResult,h,a,goals,xG,datetime,forecast
259,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '1'}","{'h': '1.35711', 'a': '1.69923'}",2015-12-26 21:30:00,"{'w': '0.281', 'd': '0.2713', 'l': '0.4477'}"
260,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '4', 'a': '0'}","{'h': '2.4303', 'a': '0.83106'}",2015-12-26 23:45:00,"{'w': '0.7896', 'd': '0.1524', 'l': '0.058'}"
261,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '2.1039', 'a': '0.456189'}",2015-12-28 19:00:00,"{'w': '0.7878', 'd': '0.1548', 'l': '0.0574'}"
262,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '1.13011', 'a': '0.527248'}",2015-12-28 19:00:00,"{'w': '0.5728', 'd': '0.3087', 'l': '0.1185'}"
263,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '1.10319', 'a': '0.235874'}",2015-12-28 19:00:00,"{'w': '0.6386', 'd': '0.2924', 'l': '0.069'}"
264,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '0'}","{'h': '0.735185', 'a': '0.169425'}",2015-12-28 19:00:00,"{'w': '0.5035', 'd': '0.4244', 'l': '0.0721'}"
265,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '3', 'a': '4'}","{'h': '2.2472', 'a': '1.58159'}",2015-12-28 19:00:00,"{'w': '0.5398', 'd': '0.2561', 'l': '0.2041'}"
266,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '0'}","{'h': '3.12958', 'a': '0.343752'}",2015-12-28 21:30:00,"{'w': '0.9481', 'd': '0.0435', 'l': '0.0084'}"
267,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '1.35213', 'a': '0.900029'}",2015-12-28 21:30:00,"{'w': '0.4964', 'd': '0.3069', 'l': '0.1967'}"
268,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '1'}","{'h': '1.79562', 'a': '1.3709'}",2015-12-28 21:30:00,"{'w': '0.4794', 'd': '0.2713', 'l': '0.2493'}"
269,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '0.810377', 'a': '1.66777'}",2015-12-29 23:45:00,"{'w': '0.1529', 'd': '0.2457', 'l': '0.6014'}"
270,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.481551', 'a': '1.80743'}",2015-12-30 23:45:00,"{'w': '0.0688', 'd': '0.1947', 'l': '0.7365'}"
271,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '0'}","{'h': '2.06737', 'a': '1.86591'}",2016-01-02 16:45:00,"{'w': '0.4218', 'd': '0.2629', 'l': '0.3153'}"
272,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '2', 'a': '1'}","{'h': '1.72318', 'a': '0.917526'}",2016-01-02 19:00:00,"{'w': '0.5918', 'd': '0.2634', 'l': '0.1448'}"
273,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '1.93025', 'a': '1.15339'}",2016-01-02 19:00:00,"{'w': '0.5807', 'd': '0.2277', 'l': '0.1916'}"
274,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '0'}","{'h': '2.28506', 'a': '1.2593'}",2016-01-02 19:00:00,"{'w': '0.6484', 'd': '0.2224', 'l': '0.1292'}"
275,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '1.74266', 'a': '0.542907'}",2016-01-02 19:00:00,"{'w': '0.6836', 'd': '0.2232', 'l': '0.0932'}"
276,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '0'}","{'h': '1.50509', 'a': '0.932294'}",2016-01-02 19:00:00,"{'w': '0.5291', 'd': '0.2772', 'l': '0.1937'}"
277,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '1'}","{'h': '0.761225', 'a': '0.27956'}",2016-01-02 19:00:00,"{'w': '0.4432', 'd': '0.4303', 'l': '0.1265'}"
278,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '2'}","{'h': '0.985368', 'a': '0.692054'}",2016-01-02 21:30:00,"{'w': '0.4296', 'd': '0.3301', 'l': '0.2403'}"
279,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '3'}","{'h': '0.546499', 'a': '2.3747'}",2016-01-03 17:30:00,"{'w': '0.0296', 'd': '0.1141', 'l': '0.8563'}"
280,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '0.721603', 'a': '0.75907'}",2016-01-03 20:00:00,"{'w': '0.3064', 'd': '0.3709', 'l': '0.3227'}"
281,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '3'}","{'h': '1.81304', 'a': '2.36216'}",2016-01-12 23:45:00,"{'w': '0.2452', 'd': '0.2462', 'l': '0.5086'}"
282,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '0.551973', 'a': '0.547913'}",2016-01-12 23:45:00,"{'w': '0.2757', 'd': '0.4363', 'l': '0.288'}"
283,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '3'}","{'h': '0.729546', 'a': '1.18455'}",2016-01-12 23:45:00,"{'w': '0.1899', 'd': '0.3365', 'l': '0.4736'}"
284,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '0'}","{'h': '1.7224', 'a': '0.11543'}",2016-01-13 23:45:00,"{'w': '0.8237', 'd': '0.1591', 'l': '0.0172'}"
285,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '3', 'a': '1'}","{'h': '1.24456', 'a': '0.193728'}",2016-01-13 23:45:00,"{'w': '0.6995', 'd': '0.2532', 'l': '0.0473'}"
286,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '4'}","{'h': '1.06526', 'a': '2.49057'}",2016-01-13 23:45:00,"{'w': '0.0471', 'd': '0.1615', 'l': '0.7914'}"
287,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '2'}","{'h': '1.38532', 'a': '0.704263'}",2016-01-13 23:45:00,"{'w': '0.5706', 'd': '0.2724', 'l': '0.157'}"
288,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '0'}","{'h': '1.44957', 'a': '0.369548'}",2016-01-13 23:45:00,"{'w': '0.6669', 'd': '0.2516', 'l': '0.0815'}"
289,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '3', 'a': '3'}","{'h': '1.16222', 'a': '2.22912'}",2016-01-14 00:00:00,"{'w': '0.1365', 'd': '0.1982', 'l': '0.6653'}"
290,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '1.2301', 'a': '0.588708'}",2016-01-14 00:00:00,"{'w': '0.5268', 'd': '0.3044', 'l': '0.1688'}"
291,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '4', 'a': '1'}","{'h': '2.02579', 'a': '0.617306'}",2016-01-16 16:45:00,"{'w': '0.7545', 'd': '0.1805', 'l': '0.065'}"
292,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '4', 'a': '0'}","{'h': '1.74025', 'a': '0.613339'}",2016-01-16 19:00:00,"{'w': '0.6974', 'd': '0.2173', 'l': '0.0853'}"
293,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '1'}","{'h': '1.84261', 'a': '1.08248'}",2016-01-16 19:00:00,"{'w': '0.566', 'd': '0.2425', 'l': '0.1915'}"
294,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '3', 'a': '0'}","{'h': '1.42623', 'a': '0.410757'}",2016-01-16 19:00:00,"{'w': '0.7089', 'd': '0.2237', 'l': '0.0674'}"
295,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '3'}","{'h': '2.44864', 'a': '1.5891'}",2016-01-16 19:00:00,"{'w': '0.6084', 'd': '0.2338', 'l': '0.1578'}"
296,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '3', 'a': '0'}","{'h': '2.53086', 'a': '0.595472'}",2016-01-16 19:00:00,"{'w': '0.8615', 'd': '0.1054', 'l': '0.0331'}"
297,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '0.665386', 'a': '2.21525'}",2016-01-16 21:30:00,"{'w': '0.051', 'd': '0.1399', 'l': '0.8091'}"
298,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '1'}","{'h': '0.952974', 'a': '0.715703'}",2016-01-17 18:05:00,"{'w': '0.379', 'd': '0.3618', 'l': '0.2592'}"
299,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '0.546879', 'a': '0.585841'}",2016-01-17 20:15:00,"{'w': '0.2667', 'd': '0.4343', 'l': '0.299'}"
300,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '0'}","{'h': '0.474035', 'a': '0.525478'}",2016-01-19 00:00:00,"{'w': '0.2495', 'd': '0.4633', 'l': '0.2872'}"
301,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '4', 'a': '5'}","{'h': '1.03432', 'a': '1.44943'}",2016-01-23 16:45:00,"{'w': '0.2233', 'd': '0.3216', 'l': '0.4551'}"
302,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '3'}","{'h': '0.930792', 'a': '1.74368'}",2016-01-23 19:00:00,"{'w': '0.1771', 'd': '0.2463', 'l': '0.5766'}"
303,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '0.187217', 'a': '0.83591'}",2016-01-23 19:00:00,"{'w': '0.0676', 'd': '0.3885', 'l': '0.5439'}"
304,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '3', 'a': '0'}","{'h': '2.25906', 'a': '0.340483'}",2016-01-23 19:00:00,"{'w': '0.8687', 'd': '0.1115', 'l': '0.0198'}"
305,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '0'}","{'h': '0.23184', 'a': '0.562461'}",2016-01-23 19:00:00,"{'w': '0.1251', 'd': '0.5024', 'l': '0.3725'}"
306,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '0.612134', 'a': '1.26851'}",2016-01-23 19:00:00,"{'w': '0.1541', 'd': '0.2939', 'l': '0.552'}"
307,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '2', 'a': '1'}","{'h': '2.58707', 'a': '1.29267'}",2016-01-23 19:00:00,"{'w': '0.6936', 'd': '0.1839', 'l': '0.1225'}"
308,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '1.01267', 'a': '1.73182'}",2016-01-23 21:30:00,"{'w': '0.1649', 'd': '0.2729', 'l': '0.5622'}"
309,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '2'}","{'h': '1.94094', 'a': '1.08055'}",2016-01-24 17:30:00,"{'w': '0.5925', 'd': '0.2715', 'l': '0.136'}"
310,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '1.10907', 'a': '1.48778'}",2016-01-24 20:00:00,"{'w': '0.2445', 'd': '0.2932', 'l': '0.4623'}"
311,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '0'}","{'h': '3.38487', 'a': '0.93405'}",2016-02-02 23:45:00,"{'w': '0.8857', 'd': '0.0828', 'l': '0.0315'}"
312,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '0'}","{'h': '1.34566', 'a': '0.580791'}",2016-02-02 23:45:00,"{'w': '0.6', 'd': '0.271', 'l': '0.129'}"
313,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '3'}","{'h': '0.929319', 'a': '2.75469'}",2016-02-02 23:45:00,"{'w': '0.0469', 'd': '0.1271', 'l': '0.826'}"
314,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '1'}","{'h': '0.888437', 'a': '0.638461'}",2016-02-02 23:45:00,"{'w': '0.3784', 'd': '0.3829', 'l': '0.2387'}"
315,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '2.34619', 'a': '0.107888'}",2016-02-02 23:45:00,"{'w': '0.9456', 'd': '0.0506', 'l': '0.0038'}"
316,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.62395', 'a': '1.17427'}",2016-02-03 00:00:00,"{'w': '0.484', 'd': '0.2782', 'l': '0.2378'}"
317,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '3', 'a': '0'}","{'h': '2.45272', 'a': '0.350909'}",2016-02-03 00:00:00,"{'w': '0.8985', 'd': '0.0829', 'l': '0.0186'}"
318,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '1'}","{'h': '2.30645', 'a': '1.17928'}",2016-02-03 00:00:00,"{'w': '0.667', 'd': '0.1986', 'l': '0.1344'}"
319,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '0'}","{'h': '2.48447', 'a': '0.626239'}",2016-02-03 23:45:00,"{'w': '0.8645', 'd': '0.1082', 'l': '0.0273'}"
320,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '0.531415', 'a': '1.13694'}",2016-02-03 23:45:00,"{'w': '0.1544', 'd': '0.313', 'l': '0.5326'}"
321,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '3'}","{'h': '1.70719', 'a': '2.50168'}",2016-02-06 16:45:00,"{'w': '0.2193', 'd': '0.2132', 'l': '0.5675'}"
322,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '2.41057', 'a': '0.472556'}",2016-02-06 19:00:00,"{'w': '0.8488', 'd': '0.1166', 'l': '0.0346'}"
323,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '3'}","{'h': '0.693548', 'a': '3.05913'}",2016-02-06 19:00:00,"{'w': '0.0284', 'd': '0.0805', 'l': '0.8911'}"
324,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '0'}","{'h': '2.00475', 'a': '0.149839'}",2016-02-06 19:00:00,"{'w': '0.8571', 'd': '0.1263', 'l': '0.0166'}"
325,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '1.32136', 'a': '1.01465'}",2016-02-06 19:00:00,"{'w': '0.4121', 'd': '0.3042', 'l': '0.2837'}"
326,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '0.918291', 'a': '1.1413'}",2016-02-06 19:00:00,"{'w': '0.2751', 'd': '0.3144', 'l': '0.4105'}"
327,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '2'}","{'h': '1.57712', 'a': '0.491843'}",2016-02-06 19:00:00,"{'w': '0.6829', 'd': '0.2273', 'l': '0.0898'}"
328,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '0'}","{'h': '1.06493', 'a': '0.970583'}",2016-02-06 21:30:00,"{'w': '0.3839', 'd': '0.3199', 'l': '0.2962'}"
329,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '2'}","{'h': '0.584316', 'a': '1.13957'}",2016-02-07 17:30:00,"{'w': '0.171', 'd': '0.3165', 'l': '0.5125'}"
330,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '1.61554', 'a': '0.780475'}",2016-02-07 20:00:00,"{'w': '0.603', 'd': '0.2449', 'l': '0.1521'}"
331,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '1'}","{'h': '1.48186', 'a': '0.908296'}",2016-02-13 16:45:00,"{'w': '0.5111', 'd': '0.2694', 'l': '0.2195'}"
332,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '0.699012', 'a': '1.19353'}",2016-02-13 19:00:00,"{'w': '0.2038', 'd': '0.3107', 'l': '0.4855'}"
333,True,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '2'}","{'h': '1.03362', 'a': '0.741428'}",2016-02-13 19:00:00,"{'w': '0.4293', 'd': '0.3326', 'l': '0.2381'}"
334,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '1'}","{'h': '1.82912', 'a': '1.1974'}",2016-02-13 19:00:00,"{'w': '0.5109', 'd': '0.2919', 'l': '0.1972'}"
335,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '2'}","{'h': '0.983946', 'a': '1.99728'}",2016-02-13 19:00:00,"{'w': '0.1024', 'd': '0.2248', 'l': '0.6728'}"
336,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '3'}","{'h': '1.19427', 'a': '0.927348'}",2016-02-13 19:00:00,"{'w': '0.4243', 'd': '0.3188', 'l': '0.2569'}"
337,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '5', 'a': '1'}","{'h': '2.0858', 'a': '0.430664'}",2016-02-13 21:30:00,"{'w': '0.8205', 'd': '0.1398', 'l': '0.0397'}"
338,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '2.36319', 'a': '1.31246'}",2016-02-14 16:00:00,"{'w': '0.6167', 'd': '0.226', 'l': '0.1573'}"
339,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '6'}","{'h': '0.174868', 'a': '2.00756'}",2016-02-14 18:05:00,"{'w': '0.0134', 'd': '0.1023', 'l': '0.8843'}"
340,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '1.97876', 'a': '1.23517'}",2016-02-14 20:15:00,"{'w': '0.5529', 'd': '0.2744', 'l': '0.1727'}"
341,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '0.52387', 'a': '1.07887'}",2016-02-27 16:45:00,"{'w': '0.1598', 'd': '0.3332', 'l': '0.507'}"
342,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '0'}","{'h': '1.00481', 'a': '0.955252'}",2016-02-27 19:00:00,"{'w': '0.3398', 'd': '0.3331', 'l': '0.3271'}"
343,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '0'}","{'h': '1.7645', 'a': '0.814784'}",2016-02-27 19:00:00,"{'w': '0.6639', 'd': '0.2299', 'l': '0.1062'}"
344,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '2'}","{'h': '1.01074', 'a': '0.631036'}",2016-02-27 19:00:00,"{'w': '0.4643', 'd': '0.3336', 'l': '0.2021'}"
345,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '1'}","{'h': '2.04047', 'a': '0.414343'}",2016-02-27 19:00:00,"{'w': '0.8681', 'd': '0.1145', 'l': '0.0174'}"
346,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '3', 'a': '2'}","{'h': '2.07488', 'a': '1.21638'}",2016-02-27 21:30:00,"{'w': '0.6115', 'd': '0.2385', 'l': '0.15'}"
347,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '3.57325', 'a': '1.24938'}",2016-02-28 18:05:00,"{'w': '0.8519', 'd': '0.0974', 'l': '0.0507'}"
