id,isResult,h,a,goals,xG,datetime,forecast
198,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '0.182741', 'a': '1.53281'}",2015-11-08 17:30:00,"{'w': '0.0255', 'd': '0.168', 'l': '0.8065'}"
199,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '2.01767', 'a': '0.90585'}",2015-11-08 20:00:00,"{'w': '0.6761', 'd': '0.1989', 'l': '0.125'}"
200,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '2.15673', 'a': '0.849281'}",2015-11-08 20:00:00,"{'w': '0.7015', 'd': '0.1917', 'l': '0.1068'}"
201,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '1.47077', 'a': '1.30264'}",2015-11-21 16:45:00,"{'w': '0.4077', 'd': '0.2975', 'l': '0.2948'}"
202,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '1.88526', 'a': '1.58509'}",2015-11-21 19:00:00,"{'w': '0.4528', 'd': '0.2667', 'l': '0.2805'}"
203,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '0', 'a': '1'}","{'h': '0.709485', 'a': '1.19495'}",2015-11-21 19:00:00,"{'w': '0.2046', 'd': '0.3092', 'l': '0.4862'}"
204,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '1'}","{'h': '0.332888', 'a': '2.08956'}",2015-11-21 19:00:00,"{'w': '0.0257', 'd': '0.1089', 'l': '0.8654'}"
205,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '3'}","{'h': '0.372387', 'a': '3.27478'}",2015-11-21 19:00:00,"{'w': '0.0047', 'd': '0.0279', 'l': '0.9674'}"
206,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '4', 'a': '0'}","{'h': '2.83068', 'a': '0.322061'}",2015-11-21 19:00:00,"{'w': '0.9355', 'd': '0.0534', 'l': '0.0111'}"
207,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '0'}","{'h': '2.16487', 'a': '0.202798'}",2015-11-21 19:00:00,"{'w': '0.8702', 'd': '0.1111', 'l': '0.0187'}"
208,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '4'}","{'h': '1.08612', 'a': '2.61697'}",2015-11-21 21:30:00,"{'w': '0.0916', 'd': '0.1649', 'l': '0.7435'}"
209,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '1'}","{'h': '3.22353', 'a': '0.818937'}",2015-11-22 20:00:00,"{'w': '0.8979', 'd': '0.0791', 'l': '0.023'}"
210,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '0', 'a': '1'}","{'h': '0.696183', 'a': '1.30739'}",2015-11-24 00:00:00,"{'w': '0.1696', 'd': '0.283', 'l': '0.5474'}"
211,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '2', 'a': '0'}","{'h': '0.863466', 'a': '0.79464'}",2015-11-28 19:00:00,"{'w': '0.3156', 'd': '0.367', 'l': '0.3174'}"
212,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '3'}","{'h': '1.48969', 'a': '1.45176'}",2015-11-28 19:00:00,"{'w': '0.3732', 'd': '0.2821', 'l': '0.3447'}"
213,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '3'}","{'h': '1.69105', 'a': '0.729005'}",2015-11-28 19:00:00,"{'w': '0.6317', 'd': '0.2298', 'l': '0.1385'}"
214,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '5', 'a': '1'}","{'h': '1.67836', 'a': '0.791299'}",2015-11-28 19:00:00,"{'w': '0.5981', 'd': '0.2543', 'l': '0.1476'}"
215,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '2.12331', 'a': '1.24478'}",2015-11-28 19:00:00,"{'w': '0.6125', 'd': '0.2333', 'l': '0.1542'}"
216,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.876256', 'a': '1.05613'}",2015-11-28 21:30:00,"{'w': '0.2717', 'd': '0.3525', 'l': '0.3758'}"
217,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '0.333494', 'a': '0.283375'}",2015-11-29 16:00:00,"{'w': '0.2151', 'd': '0.5885', 'l': '0.1964'}"
218,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '1.41404', 'a': '0.866305'}",2015-11-29 18:05:00,"{'w': '0.4799', 'd': '0.3079', 'l': '0.2122'}"
